exp_id,backbone,baseline,id_random
35,bert,mtl,0
53,bert_adapter,mtl,0
60,bert,mtl,1
68,bert_adapter,mtl,1
70,bert,ncl,2
71,bert,mtl,2
72,bert_frozen,one,2
73,bert_frozen,ncl,2
74,bert_frozen,a-gem,2
75,bert_frozen,ewc,2
76,bert_adapter,a-gem,2
77,bert_adapter,ewc,2
79,bert_adapter,mtl,2
80,bert_adapter,a-gem,0
81,bert_adapter,a-gem,1
82,bert_frozen,a-gem,0
83,bert_frozen,a-gem,1
84,bert_adapter,ewc,0
85,bert_adapter,ewc,1
86,bert_frozen,ewc,0
87,bert_frozen,ewc,1
88,bert,ncl,0
89,bert,ncl,1
90,bert_frozen,ncl,0
91,bert_frozen,ncl,1
92,bert,one,0
93,bert,one,1
94,bert,one,2
95,bert_frozen,one,0
96,bert_frozen,one,1
97,bert_frozen,hat,0
98,bert_frozen,hat,1
99,bert_frozen,hat,2
100,bert_frozen,kan,0
101,bert_frozen,kan,1
102,bert_frozen,kan,2
103,bert_adapter,hat,0
104,bert_adapter,hat,1
105,bert_adapter,hat,2
111,bert_adapter,b-cl,0
112,bert_adapter,b-cl,1
113,bert_adapter,b-cl,2
114,bert_adapter,ctr,0
115,bert_adapter,ctr,1
116,bert_adapter,ctr,2
117,bert,a-gem,0
118,bert,a-gem,1
119,bert,a-gem,2
120,bert,ewc,0
121,bert,ewc,1
122,bert,ewc,2
126,bert_adapter,ncl,0
127,bert_adapter,ncl,1
128,bert_adapter,ncl,2
129,bert_adapter,one,0
130,bert_adapter,one,1
131,bert_adapter,one,2
132,bert_frozen,ewc,0
134,bert_frozen,ewc,2
136,bert,a-gem,0
137,bert-frozen,a-gem,0
138,bert-frozen,a-gem,0
