exp_id,backbone,baseline,avg_acc,avg_f1,avg_lss,last_acc,last_f1,last_lss,bwt,fwt
35,bert,mtl,0.7189,0.6551,0.763,0.7189,0.6551,0.763,0.0,0.0
71,bert,mtl,0.6986,0.6447,0.7689,0.6986,0.6447,0.7689,0.0,0.0
96,bert_frozen,one,0.6688,0.6198,0.8017,0.6688,0.6198,0.8017,0.0,0.0
95,bert_frozen,one,0.6694,0.6192,0.8029,0.6694,0.6192,0.8029,0.0,0.0
93,bert,one,0.6649,0.6146,0.8282,0.6649,0.6146,0.8282,0.0,0.0
75,bert_frozen,ewc,0.6786,0.6451,1.9874,0.6645,0.6128,3.0694,-0.0174,0.1584
73,bert_frozen,ncl,0.6717,0.6395,0.8216,0.6532,0.6122,0.867,-0.0314,-0.0262
94,bert,one,0.6624,0.6116,0.8227,0.6624,0.6116,0.8227,0.0,0.0
72,bert_frozen,one,0.6639,0.6112,0.7964,0.6639,0.6112,0.7964,0.0,0.0
87,bert_frozen,ewc,0.641,0.5883,0.9607,0.6533,0.6106,0.9539,-0.0064,0.1489
98,bert_frozen,hat,0.6428,0.5946,0.8699,0.6531,0.6017,0.8119,-0.0052,-0.0471
138,bert_frozen,a-gem,0.6153,0.568,0.9588,0.6549,0.6011,0.8435,-0.004,-0.0298
92,bert,one,0.649,0.5994,0.8562,0.649,0.5994,0.8562,0.0,0.0
155,bert_frozen,a-gem,0.6769,0.6351,0.7975,0.6558,0.5974,0.8448,-0.0203,0.0256
99,bert_frozen,hat,0.6686,0.6301,0.7628,0.6492,0.5901,0.8076,0.0003,-0.0134
86,bert_frozen,ewc,0.6079,0.5503,1.0166,0.6383,0.5895,0.9704,-0.021,0.1417
91,bert_frozen,ncl,0.6412,0.5851,0.9381,0.6403,0.5844,0.927,-0.0501,-0.0161
154,bert_frozen,a-gem,0.6415,0.5843,0.9093,0.6433,0.5824,0.8907,-0.0402,-0.0406
90,bert_frozen,ncl,0.5988,0.5428,0.9833,0.6229,0.565,0.8965,-0.0352,-0.0139
146,bert_frozen,mtl,0.6197,0.5631,0.8724,0.6197,0.5631,0.8724,0.0,0.0
147,bert_frozen,mtl,0.6196,0.563,0.8701,0.6196,0.563,0.8701,0.0,0.0
145,bert_frozen,mtl,0.6135,0.5541,0.8767,0.6135,0.5541,0.8767,0.0,0.0
97,bert_frozen,hat,0.5699,0.5237,0.9545,0.5796,0.525,0.9116,-0.0039,0.0383
60,bert,mtl,0.5926,0.4973,0.7893,0.5926,0.4973,0.7893,0.0,0.0
159,bert,ewc,0.3931,0.2307,1.3223,0.411,0.2325,1.2057,-0.0676,0.0986
165,bert,hat,0.422,0.284,nan,0.3543,0.2157,nan,-0.1249,0.0329
166,bert,hat,0.4286,0.3123,nan,0.3227,0.2048,nan,-0.1481,0.0244
161,bert,ewc,0.3072,0.2227,1.9016,0.2728,0.1976,1.967,-0.4404,0.0893
164,bert,hat,0.3673,0.2307,nan,0.3066,0.187,nan,-0.0911,0.0041
89,bert,ncl,0.3715,0.229,1.5993,0.3764,0.1802,1.3124,-0.1288,0.0434
150,bert,ewc,0.3327,0.2314,1.8177,0.267,0.1708,2.0213,-0.4388,0.1162
139,bert,a-gem,0.3422,0.1839,1.5258,0.3518,0.168,1.5731,-0.1055,0.0252
70,bert,ncl,0.3876,0.2614,1.5318,0.3355,0.1648,1.4032,-0.1828,-0.0239
88,bert,ncl,0.3067,0.1823,1.7019,0.2895,0.1374,1.7391,-0.1853,-0.0164
162,bert,a-gem,0.2887,0.1889,2.2427,0.2725,0.1341,2.0911,-0.2415,0.0146
163,bert,a-gem,0.3311,0.2324,1.9752,0.1226,0.0562,3.0027,-0.4309,-0.0306
