exp_id,backbone,baseline,delta,name_task_effected,name_task_effecting,id_task_effected,id_task_effecting
70,bert,ncl,-0.6563,SmSA_Indonesian,IMDb_Javanese,0,1
88,bert,ncl,-0.4958,NusaX_Minangkabau,IMDb_Javanese,3,4
89,bert,ncl,-0.6788,NusaX_Ngaju,Emot_Indonesian,0,1
76,bert_adapter,a-gem,-0.6340,SmSA_Indonesian,IMDb_Javanese,0,1
80,bert_adapter,a-gem,-0.5583,SmSA_Indonesian,CodeMixedJVID_Javanese,12,13
81,bert_adapter,a-gem,-0.6921,NusaX_TobaBatak,IMDb_Javanese,10,12
77,bert_adapter,ewc,-0.6662,SmSA_Indonesian,IMDb_Javanese,0,1
84,bert_adapter,ewc,-0.5165,SmSA_Indonesian,CodeMixedJVID_Javanese,12,13
85,bert_adapter,ewc,-0.5096,SmSA_Indonesian,NusaX_Javanese,2,3
103,bert_adapter,hat,-0.3831,NusaX_Banjarese,NusaX_Indonesian,1,2
104,bert_adapter,hat,-0.5869,NusaX_Banjarese,IMDb_Javanese,11,12
105,bert_adapter,hat,-0.4095,NusaX_Buginese,NusaX_Indonesian,4,5
74,bert_frozen,a-gem,-0.1180,EmotCMT_Indonesian,NusaX_Sundanese,6,11
82,bert_frozen,a-gem,-0.1896,EmotCMT_Indonesian,NusaX_Balinese,0,10
83,bert_frozen,a-gem,-0.1444,NusaX_Javanese,CodeMixedJVID_Javanese,3,6
75,bert_frozen,ewc,-0.0874,IMDb_Javanese,NusaX_Javanese,1,3
86,bert_frozen,ewc,-0.1771,NusaX_Indonesian,NusaX_Minangkabau,2,3
87,bert_frozen,ewc,-0.1250,SmSA_Indonesian,NusaX_Balinese,2,8
97,bert_frozen,hat,-0.0248,EmotCMT_Indonesian,NusaX_Indonesian,0,2
98,bert_frozen,hat,-0.0470,EmotCMT_Indonesian,NusaX_Balinese,5,8
99,bert_frozen,hat,-0.0212,SmSA_Indonesian,NusaX_Balinese,0,2
100,bert_frozen,kan,-0.1565,IMDb_Javanese,NusaX_Acehnese,4,11
101,bert_frozen,kan,-0.1304,IMDb_Javanese,NusaX_Buginese,12,14
102,bert_frozen,kan,-0.0809,NusaX_Indonesian,Emot_Indonesian,5,7
73,bert_frozen,ncl,-0.1241,IMDb_Javanese,CodeMixedJVID_Javanese,1,14
90,bert_frozen,ncl,-0.1419,NusaX_Balinese,Sentiment_Karonese,10,14
91,bert_frozen,ncl,-0.1143,NusaX_Ngaju,Sentiment_Karonese,0,9
