backbone,baseline,last_acc,acc std,f1 std,,bwt std,fwt std,,last_f1,,bwt,,fwt,,exp_id,backbone,baseline,avg_acc,avg_f1,avg_lss,last_acc,last_f1,last_lss,bwt,fwt
bert_frozen,one,61.27%,1.30%,1.33%,,0.00%,0.00%,,55.61%,1.58%,0.00%,,0.00%,,186,bert_frozen,one,0.606,0.5448,1.003,0.606,0.5448,1.003,0,0
bert_frozen,ncl,60.36%,1.76%,2.94%,,2.63%,4.45%,,54.02%,2.28%,1.27%,,-5.94%,,187,bert_frozen,one,0.6277,0.5708,0.9728,0.6277,0.5708,0.9728,0,0
bert_frozen,hat,58.34%,0.30%,0.41%,,0.43%,7.25%,,51.76%,1.68%,2.12%,,-1.10%,,188,bert_frozen,one,0.6044,0.5528,1.0088,0.6044,0.5528,1.0088,0,0
bert_frozen,ewc,60.14%,4.25%,5.94%,,2.43%,2.18%,,54.61%,887.43%,-0.72%,,-2.09%,,180,bert_frozen,ncl,0.5332,0.4362,1.2108,0.5834,0.5071,1.0622,-0.016,-0.0349
bert_frozen,a-gem,61.69%,0.20%,0.53%,,1.12%,1.75%,,56.03%,1.62%,1.86%,,-0.98%,,181,bert_frozen,ncl,0.6768,0.6261,0.8409,0.6126,0.55,1.0109,0.0182,-0.0325
bert,one,60.38%,1.57%,1.62%,,0.00%,0.00%,,54.24%,3.28%,0.00%,,0.00%,,182,bert_frozen,ncl,0.6144,0.5536,0.9845,0.6149,0.5634,1.0173,0.0358,-0.1107
bert,ncl,22.21%,10.07%,10.94%,,8.86%,14.06%,,17.08%,20.28%,-42.46%,,-2.35%,,198,bert_frozen,hat,0.4866,0.3865,1.2724,0.5856,0.5164,1.0568,0.0257,-0.0927
bert,hat,43.51%,2.12%,4.23%,,2.90%,6.29%,,33.05%,2.58%,-8.79%,,-1.95%,,199,bert_frozen,hat,0.6292,0.5791,0.8829,0.5846,0.5222,1.0218,0.0209,0.0454
bert,ewc,27.37%,4.44%,3.18%,,6.66%,12.29%,,23.40%,8.14%,-42.93%,,-1.80%,,200,bert_frozen,hat,0.5861,0.525,0.9899,0.5799,0.5143,1.0579,0.0171,0.0144
bert,a-gem,20.13%,8.71%,10.56%,,9.35%,10.25%,,16.06%,22.47%,-43.52%,,-3.62%,,174,bert_frozen,ewc,0.5137,0.4142,6.8239,0.5545,0.4884,19.8979,-0.0321,-0.0342
,,,,,,,,,,,,,,,175,bert_frozen,ewc,0.6695,0.6199,0.9338,0.6124,0.5429,1.1465,-0.0061,0.0043
